"inchikey"	"synonym"
"CXQXSVUQTKDNFP-UHFFFAOYSA-N"	"-/"
"CXQXSVUQTKDNFP-UHFFFAOYSA-N"	"-/"
"JWRMHDSINXPDHB-UHFFFAOYSA-N"	".03%"
"JWRMHDSINXPDHB-UHFFFAOYSA-N"	".03%"
"JWRMHDSINXPDHB-UHFFFAOYSA-N"	".03%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".25%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".25%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".25%"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	".3%"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	".3%"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	".3%"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	".5%"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	".5%"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	".5%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".50%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".50%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".50%"
"JKKFKPJIXZFSSB-UHFFFAOYSA-N"	".625"
"JKKFKPJIXZFSSB-UHFFFAOYSA-N"	".625"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".75%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".75%"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	".75%"
"WVDDGKGOMKODPV-UHFFFAOYSA-N"	".alpha.-hydroxytoluene"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	".alpha.-tocopherol"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	".alpha.-tocopherol,"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	".alpha.-tocopherol, d-"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	".alpha.-tocopherol, dl-"
"WVDDGKGOMKODPV-UHFFFAOYSA-N"	".alpha.-toluenol"
"BTCSSZJGUNDROE-UHFFFAOYSA-N"	".gamma.-aminobutyric"
"BTCSSZJGUNDROE-UHFFFAOYSA-N"	".gamma.-aminobutyric acid"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"'800'"
"VYMDGNCVAMGZFE-UHFFFAOYSA-N"	"'esteve'"
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"""diluent"
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"""diluent"
"ACGUYXCXAPNIKK-UHFFFAOYSA-N"	"""mg"""
"ACGUYXCXAPNIKK-UHFFFAOYSA-N"	"""mg"""
"MJBPUQUGJNAPAZ-UHFFFAOYSA-N"	"(-)-butin"
"QHMBSVQNZZTUGM-UHFFFAOYSA-N"	"(-)-cbd"
"WTDRDQBEARUVNC-UHFFFAOYSA-N"	"(-)-dopa"
"WDEFBBTXULIOBB-UHFFFAOYSA-N"	"(-)-ethyl"
"QJJXYPPXXYFBGM-UHFFFAOYSA-N"	"(-)-fk"
"XQSPYNMVSIKCOC-UHFFFAOYSA-N"	"(-)-ftc"
"MKJIEFSOBYUXJB-UHFFFAOYSA-N"	"(-)-ro"
"BJFGVYCULWBXKF-UHFFFAOYSA-M"	"((203)hg)"
"LUALIOATIOESLM-UHFFFAOYSA-N"	"((hydroxy-4"
"WTDRDQBEARUVNC-UHFFFAOYSA-N"	"(+-)-dopa"
"KWGRBVOPPLSCSI-UHFFFAOYSA-N"	"(+)"
"KWGRBVOPPLSCSI-UHFFFAOYSA-N"	"(+)"
"VAYOSLLFUXYJDT-UHFFFAOYSA-N"	"(+)-lsd"
"MKJIEFSOBYUXJB-UHFFFAOYSA-N"	"(+)-ro"
"WTDRDQBEARUVNC-UHFFFAOYSA-N"	"(+/-)"
"WTDRDQBEARUVNC-UHFFFAOYSA-N"	"(+/-)"
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	"(+/-)-"
"DSSYKIVIOFKYAU-UHFFFAOYSA-N"	"(+/-)-"
"LEBVLXFERQHONN-UHFFFAOYSA-N"	"(+/-)-1-butyl-2',6'-pipecoloxylidide monohydrochloride,"
"STQGQHZAVUOBTE-UHFFFAOYSA-N"	"(+1)"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(>98%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(>98%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(>98%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(>98% curcurmin)"
"OJLOPKGSLYJEMD-UHFFFAOYSA-N"	"(0.1mg)"
"SEERZIQQUAZTOL-UHFFFAOYSA-N"	"(0.3mg)"
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"(0.4%)"""
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"(0.4%)"""
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"(0.4%)"""
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(1"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(1"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(1 ml)"
"PVHLMTREZMEJCG-UHFFFAOYSA-N"	"(1-7)"
